genetic,length,mass,bmi,exercise,smoking,alcohol,sugar,lifespan
74.3,164.0,132.2,49.2,4.5,13.8,0.3,6.4,67.6
68.6,197.0,97.8,25.2,2.5,4.5,4.3,7.3,67.8
90.9,173.0,88.3,29.5,2.0,20.7,0.5,7.6,86.4
84.5,189.0,94.3,26.4,3.9,9.8,4.3,6.7,83.6
89.1,182.0,83.7,25.3,2.0,0.1,3.7,4.1,88.9
74.5,187.0,77.6,22.2,2.6,0.2,1.3,4.6,75.3
72.4,178.0,127.4,40.2,5.3,11.8,0.7,7.1,72.0
91.6,181.0,72.2,22.0,2.9,2.3,0.9,5.8,92.8
67.1,192.0,109.1,29.6,2.8,2.6,3.6,9.0,66.6
89.8,187.0,119.1,34.1,0.2,19.1,4.8,6.1,80.8
82.7,191.0,106.8,29.3,1.8,0.2,3.5,2.6,82.9
83.2,197.0,104.5,26.9,1.6,17.3,3.4,8.6,81.6
88.3,198.0,89.4,22.8,3.8,16.3,1.9,5.9,85.2
97.2,204.0,91.5,22.0,1.4,0.8,0.9,2.6,97.6
79.0,211.0,116.4,26.1,2.7,18.9,2.0,4.2,74.2
78.3,193.0,133.4,35.8,1.6,19.4,3.7,4.2,74.0
79.5,182.0,97.3,29.4,0.7,3.9,0.3,8.2,78.8
78.9,192.0,127.4,34.6,3.2,0.2,0.2,3.7,79.9
83.1,194.0,91.1,24.2,1.8,9.4,4.2,6.2,81.8
85.5,193.0,96.3,25.9,0.1,10.5,4.6,8.1,81.7
73.8,192.0,96.2,26.1,2.8,17.4,0.3,5.1,72.8
85.3,173.0,62.4,20.8,2.3,1.4,0.6,4.4,86.5
97.2,187.0,95.7,27.4,4.8,0.8,0.7,7.0,98.7
79.6,163.0,82.7,31.1,1.8,0.1,4.8,8.4,79.2
80.3,164.0,67.2,25.0,1.9,13.1,3.8,1.1,76.4
90.7,186.0,86.6,25.0,2.4,1.6,5.9,5.4,91.1
85.9,171.0,99.4,34.0,1.5,0.1,5.2,7.4,84.9
83.4,193.0,85.8,23.0,3.2,18.2,0.1,3.8,79.0
71.7,207.0,52.4,12.2,2.2,11.4,0.5,8.9,70.0
77.4,162.0,82.6,31.5,1.3,17.4,0.7,6.4,71.6
93.4,176.0,109.3,35.3,1.4,2.0,1.0,4.5,92.6
79.7,191.0,86.6,23.7,3.2,8.6,0.2,3.6,79.6
79.2,190.0,76.9,21.3,3.4,6.5,4.8,4.4,78.4
82.0,178.0,126.5,39.9,1.5,1.5,1.9,7.2,80.2
93.2,186.0,67.0,19.4,2.1,1.6,2.1,6.7,93.3
92.6,157.0,75.2,30.5,1.8,6.1,4.5,5.4,89.6
73.9,195.0,84.0,22.1,1.6,6.8,4.0,10.4,71.9
84.1,190.0,95.7,26.5,1.8,16.6,2.6,4.3,79.4
76.5,186.0,114.6,33.1,4.6,17.1,0.9,8.2,77.8
89.9,187.0,63.6,18.2,3.8,5.5,0.7,10.2,90.1
80.3,187.0,144.0,41.2,1.1,5.0,0.5,5.9,78.1
74.2,173.0,102.9,34.4,2.9,10.4,0.5,5.7,72.9
84.5,184.0,69.3,20.5,2.3,17.1,1.6,10.5,80.0
71.2,192.0,51.6,14.0,1.0,4.4,0.1,3.5,70.2
91.9,181.0,77.9,23.8,3.1,17.0,4.6,2.6,84.8
84.8,185.0,111.8,32.7,2.6,22.1,1.8,4.3,81.4
67.5,204.0,91.6,22.0,4.5,0.3,4.2,12.9,69.7
72.0,172.0,100.6,34.0,2.5,15.2,1.2,2.7,69.4
78.2,182.0,119.6,36.1,2.4,15.4,0.8,6.6,72.5
81.7,179.0,71.2,22.2,2.2,16.9,4.7,11.0,78.6
70.2,205.0,79.9,19.0,3.7,15.6,1.2,8.4,65.9
84.4,174.0,145.8,48.2,1.7,9.7,0.6,7.1,78.7
84.8,184.0,93.1,27.5,1.4,1.7,1.7,4.2,84.6
77.9,161.0,99.4,38.3,1.8,12.5,4.2,5.2,74.6
82.6,198.0,108.1,27.6,1.7,1.0,0.6,9.0,83.2
82.8,180.0,106.9,33.0,2.0,10.7,1.0,11.3,80.1
80.4,170.0,91.6,31.7,1.7,7.7,2.8,4.8,77.8
75.2,200.0,84.8,21.2,0.2,16.9,4.2,6.4,69.9
85.9,177.0,58.5,18.7,1.5,21.7,0.1,3.4,81.5
64.9,187.0,70.6,20.2,1.5,13.8,5.9,7.0,61.1
77.3,167.0,98.2,35.2,1.7,14.3,4.0,9.7,71.5
91.7,183.0,107.4,32.1,1.4,0.1,0.8,6.4,91.4
83.5,161.0,56.7,21.9,1.2,16.1,1.4,11.2,80.3
79.4,181.0,90.1,27.5,1.9,0.2,0.7,1.7,80.1
86.9,169.0,123.7,43.3,2.1,2.8,1.2,1.6,85.0
73.3,187.0,115.3,33.0,1.7,21.1,5.2,3.7,67.1
64.1,212.0,94.4,21.0,0.5,14.3,3.2,3.5,60.5
85.3,189.0,90.3,25.3,4.2,6.9,2.4,9.5,88.3
89.9,209.0,84.4,19.3,3.4,19.7,0.4,8.4,87.2
88.5,169.0,71.2,24.9,1.8,0.0,5.1,9.4,87.9
82.7,188.0,94.5,26.7,1.7,0.6,4.7,6.5,81.9
88.4,183.0,70.2,21.0,3.2,11.8,0.6,2.4,86.9
76.5,185.0,64.9,19.0,1.3,0.1,3.8,8.6,75.9
90.1,185.0,111.3,32.5,1.5,18.6,0.8,1.3,87.5
96.0,185.0,132.3,38.7,2.5,0.2,3.7,0.9,96.8
79.4,170.0,63.7,22.0,3.2,20.8,0.1,5.3,72.5
79.2,187.0,73.7,21.1,2.2,3.0,0.5,6.7,80.7
82.1,180.0,59.1,18.2,2.2,5.8,0.9,6.2,81.6
83.7,191.0,65.7,18.0,1.3,13.7,0.6,4.1,80.5
93.1,193.0,118.8,31.9,3.9,4.0,0.8,9.0,93.4
79.6,194.0,70.4,18.7,2.8,1.4,0.2,4.5,81.6
81.9,192.0,52.2,14.2,1.1,21.6,1.4,7.0,77.2
85.0,178.0,119.8,37.8,2.0,0.8,0.4,6.8,84.0
86.6,168.0,66.3,23.5,3.4,7.7,0.8,6.5,86.2
78.9,173.0,105.1,35.1,2.0,21.1,0.7,6.4,73.4
81.1,184.0,118.1,34.9,4.3,4.4,1.8,3.8,83.4
96.0,206.0,78.4,18.5,1.5,0.4,1.9,5.2,95.9
79.0,182.0,81.1,24.5,2.3,17.2,0.3,5.3,76.3
75.3,189.0,65.2,18.3,1.7,17.8,0.4,7.3,72.7
84.6,184.0,90.3,26.7,1.1,2.3,0.5,6.8,83.6
78.5,181.0,101.1,30.9,1.8,5.3,2.2,5.8,76.8
69.0,179.0,105.4,32.9,4.7,15.5,0.2,3.8,70.6
75.0,189.0,94.1,26.3,3.0,1.0,2.3,1.3,77.4
80.0,187.0,98.4,28.1,0.7,9.1,0.8,10.5,77.3
84.5,176.0,95.4,30.8,1.7,9.7,0.7,8.9,82.3
81.4,179.0,106.9,33.4,3.9,6.0,1.9,6.4,82.1
89.1,204.0,62.0,14.9,2.3,17.3,0.7,2.3,85.9
81.3,182.0,109.0,32.9,4.2,15.2,4.4,9.1,78.7
87.3,185.0,101.5,29.7,1.5,14.3,5.5,11.8,80.2
80.0,185.0,68.6,20.0,2.5,0.7,3.7,1.7,80.7
80.5,180.0,76.3,23.5,1.7,0.1,1.5,10.5,80.7
86.7,188.0,56.8,16.1,3.3,17.9,1.1,5.8,82.2
81.4,210.0,59.9,13.6,2.2,14.3,0.9,5.9,78.8
64.6,196.0,67.2,17.5,2.5,1.1,0.8,3.3,66.1
65.2,179.0,97.9,30.6,3.6,13.1,3.9,7.3,61.8
92.8,178.0,114.8,36.2,3.8,4.7,0.5,5.8,92.0
76.1,187.0,73.1,20.9,2.4,0.4,0.5,3.2,77.7
72.3,193.0,128.0,34.4,1.7,0.1,4.9,5.0,71.6
80.0,181.0,75.2,23.0,1.9,19.6,0.8,6.6,75.2
79.0,180.0,67.4,20.8,4.3,9.3,3.6,2.3,78.8
81.2,182.0,137.6,41.5,1.5,18.2,0.5,6.4,74.8
77.3,190.0,100.5,27.8,0.3,10.3,0.5,6.3,73.3
70.2,190.0,95.9,26.6,3.9,7.7,5.2,1.9,68.5
83.4,165.0,71.2,26.2,2.5,16.2,0.2,7.5,81.6
82.7,195.0,100.0,26.3,1.7,2.6,4.2,8.0,82.1
80.7,159.0,93.5,37.0,4.0,10.2,0.3,2.0,80.1
80.0,192.0,88.5,24.0,3.8,0.9,3.8,2.7,81.6
81.4,208.0,71.8,16.6,1.6,11.6,0.4,8.4,79.1
77.6,207.0,107.2,25.0,2.3,3.9,2.8,5.1,76.8
90.5,212.0,87.7,19.5,4.1,20.0,0.9,5.1,86.7
78.3,195.0,73.4,19.3,3.2,21.6,1.1,2.0,76.1
69.3,199.0,107.0,27.0,1.6,4.4,0.6,7.6,68.0
89.8,159.0,102.2,40.4,1.1,16.0,4.6,3.6,83.0
78.9,201.0,60.4,15.0,1.0,18.4,2.3,6.8,75.5
87.1,194.0,89.2,23.7,0.6,9.8,1.1,5.0,83.0
88.4,191.0,108.6,29.8,1.6,0.1,0.4,2.3,89.1
71.5,167.0,73.6,26.4,1.8,7.4,1.1,3.8,71.4
83.0,181.0,145.8,44.5,2.8,0.1,4.5,5.2,81.3
88.5,169.0,121.9,42.7,2.7,14.5,0.6,3.9,85.6
79.5,178.0,67.0,21.1,1.7,20.4,4.8,9.1,74.0
86.6,201.0,105.1,26.0,0.6,13.4,1.0,12.1,84.3
85.3,181.0,75.0,22.9,1.9,10.1,0.7,7.0,84.1
94.3,180.0,106.2,32.8,2.0,10.6,0.7,1.4,92.1
84.5,170.0,124.8,43.2,1.3,0.3,6.0,3.6,83.0
70.2,183.0,73.2,21.9,1.3,0.9,5.7,7.0,69.8
86.6,177.0,133.7,42.7,4.0,1.8,0.5,8.4,87.3
65.3,184.0,62.7,18.5,2.4,0.8,5.1,5.6,64.3
87.9,180.0,91.7,28.3,0.6,21.0,1.0,13.1,81.1
95.7,197.0,111.6,28.8,1.3,18.4,3.4,4.6,90.8
75.7,201.0,83.9,20.8,2.9,0.0,3.3,3.8,77.7
82.7,207.0,62.2,14.5,5.2,8.2,1.8,1.8,83.7
87.7,185.0,87.1,25.4,4.0,5.4,5.3,3.4,86.2
81.9,182.0,98.3,29.7,2.1,20.2,5.3,3.5,76.8
91.8,180.0,127.1,39.2,3.5,10.8,0.4,5.0,91.3
99.7,177.0,99.0,31.6,1.7,10.1,0.5,8.0,98.2
85.4,165.0,109.9,40.4,1.2,18.2,0.5,5.2,79.1
78.4,172.0,53.6,18.1,1.1,4.7,3.1,6.2,76.9
88.3,185.0,141.2,41.3,0.5,0.6,0.7,6.4,86.5
68.2,213.0,63.4,14.0,4.3,3.1,1.4,6.8,70.3
82.8,181.0,122.2,37.3,2.1,21.3,1.8,8.0,77.5
90.2,181.0,127.8,39.0,2.4,18.9,0.2,6.4,82.2
78.0,197.0,81.4,21.0,2.0,1.6,0.8,3.2,78.5
91.0,199.0,124.3,31.4,0.8,0.3,4.1,5.0,90.1
80.5,173.0,54.6,18.2,1.6,10.3,4.8,6.4,77.1
82.0,193.0,84.2,22.6,2.8,4.3,1.9,5.0,82.2
83.6,186.0,58.2,16.8,5.3,4.7,1.8,7.1,83.5
78.5,202.0,84.6,20.7,3.7,20.4,1.4,6.2,73.3
71.2,186.0,115.8,33.5,1.8,0.1,2.1,8.4,70.6
84.7,169.0,52.3,18.3,1.6,18.5,2.6,8.3,79.6
80.8,193.0,133.6,35.9,2.4,19.7,3.0,3.7,78.2
67.4,178.0,67.6,21.3,4.2,18.7,0.3,5.5,63.4
83.1,174.0,99.7,32.9,0.9,0.4,3.8,4.5,82.1
83.1,202.0,86.7,21.2,1.6,6.0,5.0,9.8,80.8
75.1,171.0,106.8,36.5,3.4,19.3,5.9,9.8,69.8
85.8,179.0,94.4,29.5,4.2,15.2,0.7,3.4,85.3
74.8,195.0,65.9,17.3,1.5,17.9,0.8,5.7,69.8
70.8,172.0,68.8,23.3,2.6,0.4,3.5,9.1,70.5
85.0,187.0,52.4,15.0,0.8,5.4,2.2,7.1,82.8
74.7,194.0,90.9,24.2,0.1,4.1,4.3,8.0,71.7
76.7,202.0,83.2,20.4,2.4,4.8,0.5,5.6,76.9
85.6,164.0,97.5,36.3,1.8,6.3,2.9,5.5,84.3
81.9,171.0,85.3,29.2,2.1,18.8,1.3,5.4,77.5
83.3,195.0,75.0,19.7,1.6,4.0,0.3,9.3,82.3
89.6,173.0,147.3,49.2,3.0,21.8,1.8,9.4,83.1
86.3,173.0,111.5,37.3,5.0,14.6,1.1,4.7,85.3
80.8,187.0,128.7,36.8,5.2,21.0,0.7,5.5,74.9
79.5,184.0,131.4,38.8,3.4,8.2,0.4,7.4,79.9
78.8,174.0,99.7,32.9,0.8,17.5,5.2,5.2,72.0
95.9,198.0,110.2,28.1,2.2,7.3,0.4,8.6,94.6
76.6,172.0,119.4,40.4,3.7,12.8,0.5,8.8,74.9
88.6,178.0,93.6,29.5,1.4,13.5,0.4,10.0,84.1
91.5,197.0,123.1,31.7,1.1,4.4,0.4,6.3,90.3
96.1,198.0,72.9,18.6,1.6,0.3,0.6,12.1,97.1
80.8,200.0,70.4,17.6,1.5,0.2,0.4,9.6,80.9
86.6,199.0,133.7,33.8,1.2,13.5,5.0,9.6,79.4
64.1,171.0,105.9,36.2,2.3,14.6,4.7,11.0,60.0
85.9,174.0,89.7,29.6,1.2,0.3,0.2,9.5,85.5
84.9,185.0,67.9,19.8,1.7,9.7,4.4,9.4,81.9
80.7,183.0,63.5,19.0,0.8,0.6,0.3,6.6,80.7
66.9,177.0,92.7,29.6,2.3,2.2,0.5,3.1,67.2
85.6,186.0,53.9,15.6,1.8,7.8,1.2,3.7,85.3
83.6,199.0,74.3,18.8,0.8,1.5,3.0,7.9,83.1
83.7,176.0,68.8,22.2,1.9,1.5,5.0,9.6,82.7
75.7,155.0,102.0,42.5,2.0,6.5,1.3,9.0,72.2
84.9,200.0,84.6,21.2,2.4,10.7,4.2,9.1,83.2
77.6,180.0,85.0,26.2,2.1,10.2,2.2,5.6,74.6
84.0,193.0,89.9,24.1,1.7,13.9,1.3,4.7,78.9
69.2,178.0,125.8,39.7,2.1,10.4,0.1,4.1,65.7
73.6,194.0,125.3,33.3,0.6,5.0,3.9,10.1,70.9
82.8,204.0,95.3,22.9,0.5,11.2,3.9,9.4,78.7
77.6,175.0,82.7,27.0,1.2,15.9,1.6,4.1,72.7
67.9,195.0,76.1,20.0,4.4,0.1,0.5,2.6,72.8
87.6,198.0,104.2,26.6,3.4,13.3,3.7,5.5,85.4
91.9,189.0,109.8,30.7,1.3,5.6,4.0,9.0,90.5
80.2,185.0,144.1,42.1,2.1,8.6,5.2,9.5,74.9
80.8,178.0,90.3,28.5,2.5,10.4,1.0,8.6,80.2
77.7,185.0,73.9,21.6,2.5,9.7,3.3,9.7,75.2
80.6,174.0,74.5,24.6,1.5,21.1,2.4,9.4,75.0
73.9,196.0,62.4,16.2,1.3,11.9,5.2,7.8,71.0
75.7,195.0,117.3,30.8,2.2,7.1,1.3,4.1,73.7
79.9,206.0,92.9,21.9,2.7,9.5,0.4,5.2,78.7
78.4,176.0,107.6,34.7,1.7,7.6,1.9,5.3,75.9
82.9,204.0,126.6,30.4,1.9,4.5,1.2,5.8,81.4
78.2,212.0,60.6,13.5,1.9,8.1,2.1,2.9,76.2
93.7,177.0,106.5,34.0,2.9,6.8,0.1,6.7,93.7
88.2,196.0,94.8,24.7,1.0,0.1,2.3,4.6,88.1
64.8,204.0,121.3,29.1,3.3,19.9,3.5,1.8,60.8
72.7,179.0,66.7,20.8,2.1,17.1,1.2,8.0,70.2
83.7,199.0,115.1,29.1,2.3,3.2,0.6,3.7,83.7
83.3,184.0,94.9,28.0,0.6,5.8,0.7,6.1,81.5
78.1,179.0,86.1,26.9,2.5,21.5,1.4,6.6,73.0
74.8,164.0,92.5,34.4,3.8,15.6,5.6,7.8,70.3
98.4,171.0,54.9,18.8,1.2,0.3,4.4,6.7,97.2
92.4,191.0,116.1,31.8,3.7,20.6,2.1,7.8,88.4
83.9,206.0,70.3,16.6,0.7,0.7,2.6,8.8,82.9
70.9,186.0,84.6,24.5,1.9,1.0,4.1,2.1,71.4
74.6,198.0,102.3,26.1,3.5,2.4,2.7,9.3,74.8
78.4,198.0,130.8,33.4,1.8,0.2,0.5,5.0,79.0
85.6,184.0,94.8,28.0,2.4,0.3,0.9,7.3,86.0
94.2,189.0,66.1,18.5,1.8,1.0,0.6,8.7,94.9
64.3,185.0,109.5,32.0,0.6,6.9,0.7,1.2,62.9
75.7,176.0,77.5,25.0,2.0,20.9,4.5,10.1,69.5
93.5,161.0,77.3,29.8,2.3,1.5,5.9,4.6,92.9
84.2,196.0,161.7,42.1,1.1,16.6,0.7,4.6,77.1
73.1,183.0,66.3,19.8,4.4,13.0,0.3,12.0,72.8
81.3,201.0,121.0,29.9,3.1,13.8,4.7,8.7,76.5
72.3,182.0,87.8,26.5,2.5,21.0,4.8,10.2,68.3
95.9,189.0,88.4,24.7,1.8,9.7,0.3,8.9,94.1
80.0,191.0,115.7,31.7,2.2,19.9,1.7,5.4,75.3
74.0,174.0,101.8,33.6,1.8,12.7,0.2,11.0,71.2
83.3,175.0,65.4,21.4,1.0,1.1,1.2,1.9,83.4
88.4,166.0,78.3,28.4,1.3,16.2,1.3,6.5,84.6
72.0,188.0,107.7,30.5,2.1,15.6,5.1,5.1,68.1
77.9,187.0,65.4,18.7,2.8,6.3,5.7,7.8,76.1
75.8,183.0,91.8,27.4,0.4,0.6,1.0,5.3,75.1
86.2,191.0,85.5,23.4,3.0,0.1,5.1,9.8,86.1
85.8,205.0,73.0,17.4,1.4,0.2,1.0,6.1,86.6
75.7,195.0,122.3,32.2,3.3,11.9,4.3,7.2,72.9
82.8,198.0,90.7,23.1,2.0,0.3,4.3,3.6,83.1
87.1,183.0,69.4,20.7,2.9,2.1,2.0,3.6,88.4
89.1,185.0,89.3,26.1,3.1,5.2,1.0,5.3,89.7
82.2,188.0,120.2,34.0,2.6,12.8,0.2,6.1,79.7
77.5,170.0,95.8,33.1,1.6,5.6,2.1,8.0,76.1
92.5,172.0,62.8,21.2,1.1,4.0,1.1,9.2,91.1
91.4,185.0,59.8,17.5,1.5,0.2,5.7,4.0,90.8
84.6,193.0,85.1,22.8,2.0,7.4,2.0,5.4,83.5
76.3,183.0,61.9,18.5,1.8,13.3,2.6,4.5,72.9
80.4,198.0,124.6,31.8,0.1,14.4,4.9,3.6,74.9
78.7,201.0,125.5,31.1,3.1,7.2,4.3,6.9,77.9
82.2,197.0,116.9,30.1,2.1,14.0,4.6,5.8,79.1
82.5,171.0,99.3,34.0,2.2,18.1,0.3,6.9,78.7
69.7,211.0,95.5,21.5,3.1,3.4,0.1,4.9,71.0
66.4,180.0,58.3,18.0,3.7,20.7,5.5,5.9,64.0
80.4,170.0,83.3,28.8,3.2,4.5,0.1,5.4,81.2
73.7,192.0,113.9,30.9,1.2,0.9,0.2,2.7,73.7
84.1,185.0,52.5,15.3,3.6,16.4,2.1,3.7,83.2
84.2,211.0,97.8,22.0,1.3,2.6,0.4,11.6,83.9
82.5,182.0,88.5,26.7,0.2,12.6,1.1,7.4,79.5
86.5,206.0,84.5,19.9,1.8,19.6,3.4,13.1,79.5
75.6,205.0,71.6,17.0,2.4,18.6,3.5,4.2,74.1
90.0,176.0,87.3,28.2,3.6,0.5,0.8,7.5,92.7
82.4,204.0,158.5,38.1,5.3,0.1,0.7,7.0,84.8
80.7,194.0,110.2,29.3,2.4,15.5,4.9,11.7,73.7
91.4,174.0,70.2,23.2,1.9,17.2,1.2,6.0,87.6
83.1,166.0,106.8,38.8,3.8,10.5,5.3,11.8,81.4
91.9,208.0,86.6,20.0,1.7,6.2,0.3,10.3,90.2
86.4,188.0,87.8,24.8,4.5,0.0,0.3,12.4,88.8
86.0,172.0,103.6,35.0,1.3,16.4,0.9,8.0,78.6
82.5,182.0,145.1,43.8,1.5,0.3,0.6,10.2,80.8
87.0,177.0,94.8,30.3,2.8,0.9,0.7,5.9,88.3
87.2,196.0,56.1,14.6,0.9,15.3,3.3,8.0,84.1
83.7,171.0,120.7,41.3,2.6,9.6,1.5,10.9,82.3
83.2,178.0,98.0,30.9,2.7,18.1,5.8,2.1,78.2
70.9,195.0,70.6,18.6,2.5,8.6,0.4,3.8,70.2
95.4,176.0,62.5,20.2,2.1,0.4,0.8,8.8,96.6
86.7,178.0,139.0,43.9,3.7,0.4,2.3,8.0,86.9
85.1,168.0,118.5,42.0,1.9,13.9,3.0,5.7,79.0
80.6,188.0,90.5,25.6,1.9,0.9,3.6,2.3,80.0
84.5,174.0,70.4,23.3,2.8,14.5,0.4,4.6,81.3
77.7,174.0,88.6,29.3,4.0,0.6,4.4,5.3,78.8
79.0,168.0,58.7,20.8,4.5,21.7,2.3,8.2,78.2
76.0,171.0,71.2,24.3,0.3,18.0,3.9,4.7,71.1
81.9,177.0,81.5,26.0,1.8,4.9,3.3,2.8,81.0
74.6,180.0,101.4,31.3,3.6,11.6,5.1,5.7,72.4
82.2,188.0,99.9,28.3,2.9,20.4,0.4,3.7,80.8
81.5,171.0,121.2,41.4,1.6,19.8,1.5,6.4,74.5
64.1,208.0,91.1,21.1,2.8,11.8,0.6,5.6,63.8
82.2,199.0,65.2,16.5,5.0,12.4,3.4,2.1,81.3
77.6,171.0,103.8,35.5,3.0,0.1,4.6,5.0,76.9
77.7,207.0,65.6,15.3,0.4,0.4,1.5,6.7,77.3
82.3,165.0,102.6,37.7,1.7,10.7,0.4,8.2,78.9
88.4,192.0,75.7,20.5,2.2,18.8,4.4,6.0,81.8
83.1,168.0,105.5,37.4,1.2,16.9,1.6,4.9,79.3
79.3,180.0,71.3,22.0,3.0,9.8,2.7,6.6,79.4
89.9,195.0,107.6,28.3,2.1,6.3,0.4,11.2,89.2
72.6,177.0,78.1,24.9,2.9,16.2,0.9,6.6,71.1
75.2,198.0,72.3,18.4,2.3,15.3,3.5,5.7,71.8
81.3,178.0,59.9,18.9,2.0,13.6,0.9,5.6,78.9
81.4,182.0,113.6,34.3,4.7,7.2,1.6,5.0,84.4
78.0,187.0,121.9,34.9,0.8,4.3,0.7,5.6,75.7
79.9,195.0,50.0,13.1,3.1,0.6,0.6,2.9,82.6
81.9,179.0,116.9,36.5,2.7,13.5,0.2,12.9,79.5
76.6,201.0,108.7,26.9,4.6,13.7,0.2,8.6,73.6
95.1,193.0,53.2,14.3,1.0,4.6,0.5,7.0,94.1
89.6,156.0,112.4,46.2,3.1,10.4,1.8,1.6,86.7
85.3,194.0,113.5,30.2,2.3,13.5,4.4,9.2,81.3
77.9,174.0,117.6,38.8,1.9,13.3,5.5,12.4,73.8
94.7,168.0,79.0,28.0,0.2,14.1,1.7,11.7,89.2
80.6,213.0,62.3,13.7,1.4,20.0,0.5,5.7,76.4
67.6,176.0,64.5,20.8,3.2,12.2,1.3,7.2,66.1
88.7,190.0,112.9,31.3,3.8,8.9,0.5,2.9,88.4
86.0,195.0,104.0,27.4,2.1,19.7,0.5,10.2,82.8
83.1,187.0,128.7,36.8,2.7,15.9,0.2,7.3,79.1
70.7,168.0,85.1,30.2,1.7,11.9,3.7,9.9,67.7
83.4,185.0,82.1,24.0,2.7,18.2,1.6,4.8,79.6
80.6,179.0,85.9,26.8,2.1,5.9,0.9,7.0,81.2
75.0,188.0,80.1,22.7,0.1,0.7,1.3,6.4,74.2
78.6,205.0,95.7,22.8,1.8,22.0,0.6,3.7,74.1
84.3,176.0,123.7,39.9,2.3,0.3,1.4,4.6,82.6
77.4,167.0,62.3,22.3,3.0,1.2,0.4,8.9,79.1
83.6,188.0,72.7,20.6,2.2,20.4,0.3,5.4,76.5
80.9,186.0,112.9,32.6,2.0,4.8,0.9,4.7,80.3
86.0,163.0,78.5,29.5,4.7,4.3,4.9,8.9,88.1
89.3,180.0,77.9,24.0,4.4,8.8,0.7,4.8,90.5
77.3,200.0,122.8,30.7,2.1,8.6,0.2,10.7,75.5
77.4,202.0,126.8,31.1,4.5,2.4,4.0,5.7,78.2
82.7,199.0,115.7,29.2,1.6,2.3,2.9,3.5,82.0
83.8,191.0,134.3,36.8,1.6,3.3,0.4,4.0,83.4
83.9,181.0,53.1,16.2,2.9,2.0,1.6,3.7,84.6
70.7,187.0,115.8,33.1,5.4,5.7,3.6,2.7,72.9
80.1,205.0,64.2,15.3,3.2,0.4,5.1,6.3,82.4
85.2,200.0,67.4,16.8,3.6,6.9,5.6,5.2,85.0
80.4,184.0,69.7,20.6,2.9,21.2,1.0,3.6,77.9
80.3,170.0,132.4,45.8,1.8,5.1,1.6,4.2,77.0
87.6,169.0,65.4,22.9,2.3,21.8,2.0,9.4,78.5
87.7,181.0,79.8,24.4,1.9,17.2,1.2,7.1,83.4
86.3,184.0,63.1,18.6,2.1,0.8,4.8,5.5,86.5
85.1,178.0,111.3,35.1,1.8,11.1,2.3,3.0,82.4
90.3,175.0,142.6,46.6,1.5,0.3,1.8,4.7,88.0
83.7,186.0,116.8,33.8,2.4,21.3,1.3,10.4,78.0
64.2,184.0,51.7,15.3,2.6,6.9,2.0,5.1,63.3
73.8,188.0,162.4,45.9,2.2,4.6,2.5,5.1,69.8
77.9,192.0,135.9,36.9,1.5,17.7,2.2,6.4,73.2
83.6,180.0,122.5,37.8,3.4,8.5,0.4,4.0,84.0
71.0,176.0,108.2,34.9,5.1,20.7,4.5,10.9,65.1
97.9,173.0,113.4,37.9,1.2,3.8,0.5,4.6,96.3
67.3,174.0,135.3,44.7,5.3,0.1,5.3,10.9,67.6
82.0,198.0,59.8,15.3,2.6,2.6,5.3,9.7,81.4
68.9,196.0,85.3,22.2,2.4,17.3,1.3,4.1,65.6
77.1,155.0,72.1,30.0,1.7,18.2,1.3,7.8,73.0
84.1,167.0,120.9,43.4,5.3,10.8,4.7,6.4,82.0
77.2,200.0,120.9,30.2,1.3,13.2,2.0,11.8,71.8
87.9,186.0,82.6,23.9,1.0,13.0,0.4,10.0,84.8
74.9,172.0,59.8,20.2,1.1,14.3,1.4,4.6,70.7
77.4,197.0,80.0,20.6,3.0,7.2,5.5,6.3,78.4
82.8,206.0,71.4,16.8,3.0,0.5,0.8,11.4,83.4
80.5,164.0,70.8,26.3,2.8,15.5,1.9,6.1,77.6
72.6,177.0,60.8,19.4,1.4,20.9,5.7,2.3,67.5
83.0,182.0,110.3,33.3,1.7,0.0,4.9,9.3,81.9
76.1,206.0,72.0,17.0,1.0,1.8,1.6,7.1,75.6
72.3,169.0,114.4,40.1,2.8,17.2,3.4,2.8,68.4
78.0,192.0,86.5,23.5,0.4,2.6,4.6,7.0,76.5
91.7,170.0,92.8,32.1,3.0,18.4,4.4,10.4,85.8
97.9,175.0,84.0,27.4,1.6,19.1,0.4,6.2,94.6
89.8,181.0,67.3,20.5,3.5,9.8,0.6,7.5,90.7
83.0,169.0,73.9,25.9,3.5,10.4,0.6,8.8,81.6
87.2,205.0,68.4,16.3,1.7,0.3,1.5,2.2,88.1
83.8,188.0,135.8,38.4,1.7,1.4,0.4,6.5,82.5
75.1,178.0,142.5,45.0,3.3,11.0,0.3,4.5,72.1
86.0,171.0,72.1,24.7,3.2,0.2,4.8,0.8,88.4
89.3,171.0,80.9,27.7,1.8,5.6,1.3,4.8,88.3
74.1,199.0,83.3,21.0,1.9,20.2,0.9,3.9,71.0
81.9,208.0,81.1,18.7,1.4,1.0,5.9,9.4,81.1
76.9,202.0,83.1,20.4,3.1,17.7,0.3,13.2,73.4
85.8,198.0,74.8,19.1,5.1,4.1,4.2,2.8,87.0
83.0,176.0,54.7,17.7,4.5,18.4,1.3,7.9,79.1
91.6,183.0,68.9,20.6,4.0,13.7,0.8,8.6,89.3
